App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:02:58 PM","2 min 21 sec","Trepn_2018.10.20_140256.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
69,3,63,40,66,3050849,837888,78,180000,83,0,14,1555200,51,1555200,56,1555200,63,1555200,66,0,67,1766400,69,0,72,1766400,51,84,53,69,58,69,65,68,66,0,69,61,70,0,77,70,
132,3,123,40,130,4444873,2231912,136,180000,137,0,115,1555200,117,1555200,121,1555200,124,1555200,126,1766400,131,1766400,133,0,133,1766400,117,75,120,87,123,75,125,85,130,100,132,87,133,0,135,66,
227,3,221,40,225,3934974,1722013,230,180000,230,0,216,1555200,217,1555200,219,1555200,222,1555200,223,1766400,225,1766400,227,0,228,1766400,217,88,219,62,221,88,223,60,225,40,227,12,228,0,229,100,
334,3,323,40,333,3246984,1034023,336,180000,337,0,316,1555200,318,1555200,321,1555200,324,1555200,328,1766400,333,0,334,0,335,1766400,318,77,320,63,322,66,326,63,332,27,334,0,335,0,336,100,
426,3,422,40,425,3560700,1347739,429,180000,430,0,416,1555200,418,1555200,420,1555200,422,1555200,424,1766400,426,0,427,0,428,1766400,418,57,420,81,421,70,423,44,425,88,426,0,427,0,429,100,
529,3,524,40,528,2569240,356279,533,180000,534,0,517,1555200,520,1555200,522,1555200,524,1555200,526,1766400,529,0,530,0,531,1766400,519,42,521,22,524,36,526,41,528,66,529,0,530,0,532,81,
628,3,623,40,627,2989393,776432,630,180000,631,0,617,1555200,620,1555200,622,1555200,624,1555200,625,1766400,627,0,628,0,629,1766400,619,66,621,30,623,63,625,22,627,100,628,0,628,0,630,33,
735,3,730,40,734,2865855,652894,738,180000,738,0,718,1555200,720,1555200,722,1555200,730,1555200,732,1766400,734,0,735,0,736,1766400,720,81,721,54,725,63,732,60,734,72,735,0,736,0,737,63,
828,3,823,40,827,2965606,752645,833,180000,834,0,818,1555200,820,1555200,822,1555200,824,1555200,825,1766400,827,0,828,0,830,1766400,819,60,821,50,823,50,825,40,826,100,828,0,829,0,832,88,
1261,3,1255,40,1260,3409595,1196634,1264,180000,1268,0,919,1555200,921,1555200,1253,1555200,1255,1555200,1258,1766400,1260,0,1261,0,1262,1766400,920,81,922,81,1255,66,1258,55,1260,58,1261,0,1261,0,1264,50,
1363,3,1356,40,1362,3115089,902128,1366,180000,1366,0,1349,1555200,1351,1555200,1354,1555200,1357,1555200,1359,1766400,1362,0,1363,0,1364,1766400,1351,77,1353,57,1355,70,1359,90,1361,54,1362,0,1363,0,1365,9,
1461,3,1456,40,1460,2720678,507717,1464,180000,1465,0,1450,1555200,1452,1555200,1454,1555200,1456,1555200,1458,1248000,1460,0,1461,0,1462,1248000,1451,90,1453,80,1455,80,1457,88,1459,27,1460,0,1461,0,1464,0,
1564,3,1558,40,1563,2106033,0,1565,180000,1566,0,1551,1555200,1554,1555200,1556,1555200,1559,1555200,1562,384000,1564,0,1564,0,1564,1248000,1553,77,1555,80,1558,55,1562,69,1563,10,1564,0,1564,0,1565,0,
1662,3,1656,40,1660,1824860,0,1664,180000,1665,0,1650,1555200,1653,1555200,1654,1555200,1656,1555200,1658,384000,1661,0,1662,0,1663,384000,1652,72,1654,55,1656,54,1658,62,1660,0,1661,0,1662,0,1664,0,
1763,3,1758,40,1762,631098,0,1766,180000,1766,0,1752,1248000,1754,1248000,1756,1248000,1759,1248000,1761,384000,1763,0,1763,0,1764,384000,1754,45,1756,20,1758,27,1760,18,1762,0,1763,0,1764,0,1765,0,
1879,3,1872,40,1877,173040,0,1883,180000,1884,0,1853,384000,1860,384000,1865,384000,1872,960000,1875,384000,1878,0,1879,0,1880,384000,1858,33,1864,10,1871,27,1874,9,1877,0,1878,0,1880,0,1882,0,
1967,3,1960,40,1966,850527,0,1971,180000,1972,0,1953,1248000,1955,1248000,1958,1248000,1961,1248000,1963,384000,1966,0,1967,0,1968,384000,1955,60,1957,12,1960,60,1962,22,1966,0,1967,0,1968,0,1970,0,
2064,3,2059,40,2063,1149747,0,2066,180000,2067,0,2053,1248000,2055,1248000,2057,1248000,2059,1248000,2061,384000,2063,0,2064,0,2065,384000,2055,55,2057,55,2059,54,2061,50,2063,0,2064,0,2064,0,2066,0,
2168,3,2162,40,2167,735826,0,2174,180000,2175,0,2154,1248000,2157,1248000,2160,1248000,2163,1248000,2165,384000,2168,0,2170,0,2172,384000,2156,50,2159,45,2162,20,2165,16,2167,0,2168,0,2171,0,2173,0,
2274,3,2266,40,2273,314188,0,2279,180000,2280,0,2255,600000,2259,600000,2262,600000,2266,600000,2270,384000,2273,0,2275,0,2276,384000,2258,22,2261,30,2265,41,2269,50,2272,0,2274,0,2275,0,2278,0,
2373,3,2366,40,2372,417276,0,2377,180000,2378,0,2356,960000,2360,960000,2363,960000,2366,960000,2369,384000,2372,0,2374,0,2374,384000,2360,12,2363,41,2365,30,2368,11,2372,30,2373,0,2374,0,2377,0,
2475,3,2466,40,2473,646059,0,2479,180000,2480,0,2456,1248000,2460,1248000,2463,1248000,2467,1248000,2470,384000,2474,0,2475,0,2476,384000,2459,25,2462,22,2465,50,2469,16,2473,0,2475,0,2476,0,2478,0,
2575,3,2567,40,2574,730839,0,2579,180000,2580,0,2557,1248000,2560,1248000,2564,1248000,2568,1248000,2571,384000,2574,0,2575,0,2576,384000,2560,50,2563,30,2566,50,2571,0,2573,0,2575,0,2576,0,2578,0,
2676,3,2668,40,2674,509344,0,2680,180000,2681,0,2658,960000,2662,960000,2665,960000,2668,960000,2672,384000,2675,0,2676,0,2677,384000,2661,50,2664,20,2667,50,2671,10,2674,0,2675,0,2676,0,2679,0,
2794,3,2780,40,2792,137395,0,2798,180000,2799,0,2760,384000,2766,384000,2773,384000,2781,384000,2788,384000,2793,0,2794,0,2795,384000,2765,9,2772,18,2778,27,2786,9,2791,0,2793,0,2795,0,2797,0,
2880,3,2871,40,2878,437113,0,2884,180000,2886,0,2860,960000,2864,960000,2867,960000,2871,960000,2875,384000,2878,0,2880,0,2881,384000,2863,25,2866,30,2870,33,2874,20,2877,0,2879,0,2881,0,2883,0,
2977,3,2970,40,2976,417414,0,2981,180000,2982,0,2961,960000,2964,960000,2967,960000,2970,960000,2973,384000,2976,0,2977,0,2978,384000,2963,30,2966,30,2969,22,2972,20,2975,0,2977,0,2978,0,2980,0,
3080,3,3073,40,3079,272034,0,3084,180000,3085,0,3062,1248000,3066,1248000,3070,1248000,3073,1248000,3076,384000,3080,0,3081,0,3081,384000,3065,0,3069,0,3072,27,3076,11,3079,0,3080,0,3081,0,3083,0,
3178,3,3171,40,3177,227484,0,3182,180000,3183,0,3162,1478400,3166,1478400,3168,1478400,3172,1478400,3174,384000,3177,0,3178,0,3179,384000,3165,0,3168,0,3171,22,3174,0,3176,0,3178,0,3179,0,3181,0,
3280,3,3273,40,3279,561584,0,3285,180000,3286,0,3264,1478400,3267,1478400,3270,1248000,3273,1248000,3276,384000,3280,0,3281,0,3282,384000,3266,50,3269,0,3272,30,3275,0,3279,0,3280,0,3281,0,3284,0,
3381,3,3374,40,3379,596189,0,3384,180000,3385,0,3364,1248000,3367,1248000,3371,1248000,3374,1248000,3377,384000,3380,0,3381,0,3382,384000,3367,54,3370,27,3373,22,3376,0,3379,0,3380,0,3382,0,3384,0,
3479,3,3473,40,3478,581228,0,3483,180000,3483,0,3465,1248000,3468,1248000,3471,1248000,3473,1248000,3476,384000,3478,0,3479,0,3480,384000,3467,60,3470,20,3473,20,3475,0,3478,0,3479,0,3480,0,3482,0,
3600,3,3588,40,3599,120848,0,3604,180000,3605,0,3567,384000,3575,384000,3581,384000,3589,384000,3595,384000,3599,0,3601,0,3602,384000,3573,9,3580,0,3586,10,3593,25,3598,0,3600,0,3601,0,3604,0,
3686,3,3677,40,3684,411062,0,3692,180000,3693,0,3667,960000,3670,864000,3674,864000,3678,864000,3681,384000,3685,0,3686,0,3689,384000,3670,44,3673,33,3676,0,3680,33,3684,0,3685,0,3687,0,3691,0,
3785,3,3778,40,3784,341900,0,3790,180000,3791,0,3768,960000,3772,960000,3775,960000,3778,960000,3781,384000,3784,0,3785,0,3786,384000,3771,20,3774,20,3777,9,3780,30,3783,0,3785,0,3786,0,3789,0,
3903,3,3891,40,3901,193146,0,3909,180000,3910,0,3869,460800,3876,460800,3883,460800,3891,600000,3896,384000,3902,0,3903,0,3905,384000,3874,30,3881,33,3889,10,3895,18,3901,0,3902,0,3904,0,3908,0,
3998,3,3987,40,3997,296461,0,4003,180000,4004,0,3970,960000,3975,384000,3982,384000,3990,384000,3994,384000,3997,0,3998,0,3999,384000,3974,45,3980,66,3986,0,3993,10,3996,0,3998,0,3999,0,4002,0,
4096,3,4084,40,4094,181024,0,4101,180000,4102,0,4071,960000,4075,960000,4080,960000,4085,960000,4090,384000,4095,0,4096,0,4098,384000,4074,0,4079,30,4083,0,4088,0,4093,0,4096,0,4097,0,4100,0,
4186,3,4179,40,4184,551306,0,4189,180000,4190,0,4171,1248000,4174,1248000,4177,1248000,4180,1248000,4182,384000,4185,0,4186,0,4186,384000,4174,58,4176,25,4179,0,4182,11,4184,0,4185,0,4186,0,4188,0,
4307,3,4293,40,4305,148717,0,4313,180000,4313,0,4273,384000,4280,384000,4286,384000,4293,460800,4299,384000,4306,0,4308,0,4310,384000,4278,30,4284,10,4291,36,4298,0,4304,0,4307,0,4310,0,4312,0,
