App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:48:59 PM","1 min 41 sec","Trepn_2018.10.20_164858.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
43,3,37,40,42,2761089,1589816,46,180000,47,0,9,1555200,32,1555200,35,1555200,37,1555200,40,1766400,42,0,43,1766400,45,0,31,25,34,41,37,54,39,18,41,90,43,0,45,0,46,0,
120,3,115,40,119,1774572,603299,123,180000,123,0,109,1555200,111,1555200,113,1555200,116,1555200,117,1766400,119,0,120,1766400,122,0,111,50,113,0,115,62,117,0,119,100,120,0,121,0,122,0,
222,3,217,40,221,1150532,0,225,180000,226,0,210,1555200,212,1555200,214,1555200,217,1478400,219,1766400,222,0,222,1766400,225,0,212,42,214,18,216,22,219,0,221,54,222,0,224,44,225,0,
324,3,318,40,323,1776600,605327,327,180000,327,0,310,1248000,313,1248000,315,1248000,319,1248000,321,1766400,323,0,324,1766400,326,0,312,16,315,20,318,27,320,20,322,100,323,0,325,0,326,0,
424,3,418,40,422,1400404,229131,427,180000,428,0,411,1248000,413,1248000,415,1248000,418,1248000,420,1766400,423,0,424,1766400,426,0,413,66,415,0,417,10,420,10,422,100,423,0,426,0,427,0,
524,3,518,40,523,1349802,178529,527,180000,527,0,511,1344000,514,1344000,516,1344000,518,1248000,521,1766400,523,0,524,1766400,526,0,513,33,515,20,517,30,520,0,522,90,523,0,525,0,526,0,
625,3,619,40,624,1328634,157361,629,180000,629,0,612,1248000,614,1248000,617,1248000,620,1248000,622,1766400,625,0,626,1766400,628,0,614,36,616,27,619,30,621,0,624,88,625,0,627,0,628,0,
724,3,718,40,723,2108708,937435,727,180000,728,0,712,1555200,714,1555200,716,1555200,719,1555200,721,1766400,723,0,724,1766400,726,0,714,44,716,55,718,50,720,22,722,90,724,0,726,0,727,0,
825,3,820,40,824,1687417,516144,829,180000,829,0,813,1555200,815,1555200,818,1555200,820,1555200,822,1766400,824,0,825,1766400,828,0,815,62,817,36,819,22,822,22,824,66,825,0,827,18,828,0,
927,3,920,40,925,1105234,0,931,180000,932,0,913,1555200,916,1555200,918,1555200,921,1555200,923,1766400,925,0,927,1766400,931,0,915,45,918,20,920,22,922,11,925,18,926,0,929,90,931,0,
1022,3,1018,40,1021,2520770,1349497,1024,180000,1025,0,1013,1555200,1015,1555200,1017,1555200,1018,1555200,1020,1766400,1022,0,1022,1766400,1024,0,1015,66,1016,36,1018,22,1020,9,1021,77,1022,0,1023,100,1024,0,
