App,Package,Start Time,Duration,Filename
"System",,"Oct 25, 2018 @ 10:05:49 PM","1 min 26 sec","Trepn_2018.10.25_220548.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
75,3,68,40,73,506454,0,80,180000,81,0,8,384000,62,960000,65,960000,68,960000,71,384000,74,0,76,384000,79,0,61,57,64,57,67,42,70,15,73,0,75,0,78,0,79,0,
123,3,116,40,121,1568656,952886,127,180000,128,0,108,1248000,111,1248000,114,1248000,117,1248000,119,384000,122,0,123,384000,126,0,110,100,113,57,116,75,118,66,121,0,122,0,125,0,127,0,
223,3,217,40,222,634105,18335,228,180000,229,0,209,960000,212,960000,214,960000,217,960000,220,384000,222,0,224,384000,226,0,211,70,214,45,216,20,219,33,222,0,223,0,226,0,227,0,
322,3,316,40,321,541332,0,325,180000,326,0,310,1248000,312,1248000,314,1248000,317,1248000,319,384000,321,0,322,384000,324,0,312,45,314,14,316,22,318,11,321,0,322,0,324,0,325,0,
423,3,418,40,422,715878,100108,427,180000,428,0,410,1248000,413,1248000,415,1248000,418,1248000,420,384000,423,0,424,384000,426,0,412,71,415,11,417,27,420,18,422,0,423,0,425,0,427,0,
527,3,520,40,526,661020,45250,531,180000,532,0,511,1248000,514,1248000,517,1248000,520,1248000,523,384000,526,0,527,384000,530,0,513,44,517,22,519,20,522,30,525,0,527,0,529,0,530,0,
626,3,620,40,625,433830,0,631,180000,632,0,611,960000,614,960000,617,960000,620,960000,623,384000,626,0,627,384000,630,0,614,40,616,22,619,25,622,20,625,0,626,0,629,0,630,0,
733,3,723,40,730,264774,0,739,180000,740,0,712,768000,717,960000,720,960000,724,960000,727,384000,731,0,734,384000,738,0,716,50,719,10,723,10,726,0,729,0,732,0,737,0,738,0,
830,3,822,40,828,680070,64300,834,180000,835,0,813,960000,816,960000,819,960000,822,960000,825,384000,829,0,830,384000,833,0,815,63,818,42,821,50,825,27,828,0,829,0,832,0,834,0,
928,3,921,40,927,571724,0,932,180000,933,0,913,960000,916,960000,919,960000,922,960000,924,384000,927,0,929,384000,931,0,916,54,918,22,921,37,924,36,926,0,928,0,931,0,932,0,
