App,Package,Start Time,Duration,Filename
"System",,"Oct 26, 2018 @ 01:45:10 PM","1 min 34 sec","Trepn_2018.10.26_134509.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
48,3,40,40,44,4220373,996658,55,180000,55,0,10,1555200,36,1555200,38,1555200,40,1555200,42,1766400,44,0,48,1766400,52,1766400,36,100,38,92,39,91,42,92,43,100,45,0,51,90,54,0,
122,3,116,40,120,3248655,24940,126,180000,127,0,111,1555200,113,1555200,114,1555200,117,1555200,118,1766400,120,1766400,122,1766400,124,1766400,112,57,114,42,116,57,118,50,120,100,122,97,124,66,126,71,
222,3,217,40,221,5095244,1871529,225,180000,226,0,211,1555200,213,1555200,215,1555200,218,1555200,220,1766400,222,0,223,1766400,224,0,213,77,215,70,217,81,219,57,221,100,222,0,224,66,225,0,
322,3,317,40,321,2963596,0,325,180000,325,0,312,1555200,314,1555200,315,1555200,318,1555200,319,1766400,321,0,322,1766400,324,0,313,70,315,54,317,50,319,22,321,100,322,0,323,63,324,0,
422,3,418,40,421,2463700,0,425,180000,425,0,412,1555200,414,1555200,416,1555200,418,1555200,420,1766400,422,0,422,1766400,424,0,414,60,415,30,417,40,419,0,421,100,422,0,424,100,425,0,
521,3,517,40,521,2871498,0,524,180000,524,0,512,1555200,514,1555200,516,1555200,518,1555200,519,1766400,521,0,522,1766400,523,0,514,55,515,14,517,45,519,27,521,100,521,0,523,100,523,0,
629,3,624,40,628,3177294,0,637,180000,637,0,613,1555200,617,1555200,622,1555200,625,1555200,627,1766400,629,0,631,1766400,636,0,615,70,621,63,624,70,626,60,628,36,629,0,633,58,636,0,
728,3,722,40,726,3374350,150635,732,180000,733,0,714,1555200,716,1555200,719,1555200,722,1555200,724,1766400,727,0,728,1766400,731,0,716,81,718,81,721,77,724,80,725,55,728,0,730,33,731,0,
824,3,820,40,824,3086990,0,832,180000,833,0,815,1555200,817,1555200,818,1555200,820,1555200,822,1766400,824,0,825,1766400,830,0,816,90,818,72,820,80,822,58,823,63,824,0,829,88,831,0,
924,3,920,40,923,1918846,0,927,180000,928,0,915,1555200,917,1555200,918,1555200,920,1555200,921,1766400,924,0,924,1766400,926,0,916,50,918,40,919,30,921,27,922,0,924,0,926,100,927,0,
1037,3,1027,40,1036,2875632,0,1041,180000,1042,19,1016,1344000,1018,1344000,1021,1344000,1027,1344000,1031,1766400,1037,0,1038,1766400,1040,0,1018,63,1021,63,1025,50,1030,77,1036,54,1037,0,1040,30,1041,0,
1144,3,1132,40,1142,3628809,405094,1147,390000,1148,19,1117,1555200,1119,1555200,1121,1555200,1133,1555200,1140,1766400,1143,0,1144,1766400,1146,0,1119,100,1121,90,1129,91,1139,88,1142,50,1144,0,1146,25,1147,0,
1236,3,1230,40,1235,3618216,394501,1240,390000,1240,19,1224,1555200,1226,1555200,1228,1555200,1230,1555200,1233,1248000,1236,0,1237,1248000,1239,0,1225,90,1227,72,1229,88,1232,72,1235,72,1236,0,1238,60,1239,0,
1335,3,1330,40,1334,2117705,0,1338,390000,1338,19,1324,1555200,1327,1555200,1329,1555200,1330,1555200,1332,633600,1334,0,1335,633600,1337,0,1326,60,1328,25,1330,37,1332,22,1334,33,1335,0,1336,18,1337,0,
1450,3,1444,40,1449,1281526,0,1454,180000,1455,19,1425,1555200,1429,1555200,1431,1555200,1445,1248000,1447,384000,1449,0,1450,384000,1453,0,1429,44,1431,10,1444,0,1446,27,1449,0,1450,0,1452,0,1454,0,
1546,3,1531,40,1545,2058357,0,1549,180000,1550,0,1525,1478400,1527,1478400,1529,1478400,1532,1478400,1543,1248000,1546,0,1547,1248000,1549,0,1527,70,1529,50,1531,66,1543,70,1545,20,1546,0,1548,40,1549,0,
1639,3,1632,40,1637,2411277,0,1642,180000,1643,0,1626,1555200,1629,1555200,1631,1555200,1633,1555200,1635,1440000,1637,0,1640,1440000,1642,0,1628,66,1630,33,1632,60,1634,50,1637,100,1638,0,1641,11,1642,0,
1737,3,1735,40,1736,2718703,0,1738,180000,1738,0,1727,1555200,1734,1555200,1734,1555200,1735,1555200,1736,1766400,1736,0,1737,1766400,1737,0,1733,63,1734,50,1735,81,1735,40,1736,100,1736,0,1737,44,1738,0,
1837,3,1833,40,1837,3099295,0,1840,180000,1840,0,1827,1555200,1829,1555200,1831,1555200,1834,1555200,1835,1766400,1837,0,1837,1766400,1839,0,1829,87,1831,50,1833,60,1835,70,1836,80,1837,0,1839,100,1839,0,
1938,3,1934,40,1938,3270165,46450,1943,180000,1944,0,1927,1555200,1930,1555200,1932,1555200,1934,1555200,1936,1766400,1938,0,1939,1766400,1941,1766400,1929,58,1932,45,1934,70,1936,36,1937,90,1938,0,1940,100,2045,100,
2041,3,2034,40,2039,3187031,0,2046,180000,2046,0,2028,1555200,2030,1555200,2032,1555200,2035,1555200,2037,1766400,2040,0,2042,1766400,2044,1766400,2030,80,2032,63,2034,54,2036,50,2038,50,2041,0,2043,70,2147,100,
