App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:28:22 AM","1 min 25 sec","Trepn_2018.10.21_112821.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
50,3,46,40,49,845044,0,52,180000,52,0,11,1344000,44,1344000,45,1344000,47,1344000,48,1248000,49,0,50,0,50,1248000,44,0,45,7,46,0,48,0,49,76,49,0,50,0,51,60,
117,3,115,40,116,1225469,0,118,180000,118,0,112,1555200,113,1555200,114,1555200,115,1555200,116,1766400,116,0,117,0,117,1766400,113,33,114,14,114,0,115,0,116,57,117,0,117,0,118,71,
225,3,220,40,224,1989990,429963,229,180000,229,0,213,1555200,215,1555200,217,1555200,220,1555200,222,1766400,225,0,226,0,227,384000,214,75,217,45,219,30,222,28,224,0,225,0,226,0,228,15,
326,3,320,40,325,1285827,0,328,180000,329,0,313,1555200,316,1555200,318,1555200,320,1555200,323,384000,325,0,326,0,327,384000,315,66,317,28,319,60,322,12,324,0,325,0,326,0,328,0,
427,3,421,40,425,1236913,0,430,180000,431,0,414,1555200,416,1555200,419,1555200,421,1555200,424,384000,426,0,427,0,428,384000,416,66,418,54,420,14,423,27,425,0,426,0,427,0,429,0,
527,3,521,40,526,1487866,0,530,180000,531,0,515,1555200,517,1555200,519,1555200,522,1555200,524,384000,526,0,527,0,528,384000,516,63,518,45,521,55,523,33,525,0,527,0,527,0,529,0,
627,3,622,40,626,1258423,0,630,180000,630,0,615,1555200,618,1555200,620,1555200,622,1555200,624,384000,627,0,627,0,628,384000,617,62,619,44,622,40,624,18,626,0,627,0,628,0,629,0,
734,3,726,40,733,542176,0,739,180000,740,0,716,960000,719,960000,723,960000,727,960000,730,384000,733,0,735,0,736,384000,719,40,722,50,725,50,729,0,732,0,734,0,735,0,738,0,
833,3,825,40,832,829297,0,837,180000,838,0,817,1248000,819,1248000,823,960000,826,960000,829,384000,832,0,833,0,834,384000,819,66,822,37,825,60,828,11,831,0,833,0,834,0,836,0,
937,3,929,40,935,488058,0,941,180000,942,0,917,864000,922,960000,926,960000,929,960000,932,384000,936,0,937,0,938,384000,921,63,925,40,928,20,932,10,935,0,936,0,938,0,940,0,
