App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:36:25 PM","1 min 35 sec","Trepn_2018.10.21_213624.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
15,3,2,40,14,2681232,580590,27,180000,27,0,63,1555200,65,1555200,67,1555200,2,1555200,12,1536000,14,0,15,0,16,1536000,65,100,67,75,1,71,11,57,13,76,15,0,16,0,26,58,
74,3,69,40,73,3386507,1285865,77,180000,78,0,164,1555200,166,1555200,167,1555200,70,1555200,71,1766400,74,0,75,0,75,1766400,165,42,167,50,69,87,71,80,73,50,74,0,75,0,77,100,
176,3,170,40,175,1917974,0,180,180000,181,0,264,1555200,266,1555200,269,1555200,170,1555200,173,1766400,175,0,177,0,178,1766400,266,50,268,44,169,18,172,22,174,0,176,0,177,0,180,100,
275,3,271,40,274,1889293,0,278,180000,279,0,365,1555200,367,1555200,370,1555200,271,1555200,273,1766400,275,0,276,0,276,1766400,366,66,369,20,270,22,272,12,274,0,275,0,276,0,278,100,
378,3,372,40,377,1753062,0,381,180000,382,0,465,1555200,467,1555200,469,1555200,373,1555200,375,1766400,377,0,378,0,379,1766400,467,66,469,63,372,12,374,11,377,0,378,0,379,0,381,100,
476,3,471,40,475,3021562,920920,479,180000,479,0,566,1555200,569,1555200,572,1555200,471,1555200,473,1766400,475,0,476,0,477,1766400,568,88,571,72,470,63,473,53,475,33,476,0,476,0,479,100,
581,3,575,40,580,3499657,1399015,584,180000,585,0,667,1555200,670,1555200,672,1555200,576,1555200,578,1766400,580,0,581,1766400,583,1766400,669,30,671,25,575,66,577,77,579,40,580,0,582,0,584,72,
679,3,674,40,678,2278416,177774,685,180000,686,0,767,1344000,770,1344000,772,1344000,674,1555200,676,1766400,679,0,679,1766400,684,0,769,28,772,11,673,11,676,27,678,100,679,0,683,20,685,0,
780,3,774,40,779,1207151,0,783,180000,784,0,868,1555200,871,1555200,874,1555200,774,1344000,777,1766400,779,0,780,1766400,782,0,870,36,873,11,774,90,776,25,778,9,780,0,782,0,783,0,
884,3,877,40,883,1351634,0,888,180000,889,0,969,1555200,971,1555200,973,1555200,877,1555200,881,384000,883,0,885,384000,887,0,970,37,972,11,876,100,880,30,883,0,884,0,887,0,888,0,
979,3,974,40,978,1397591,0,982,180000,982,0,1070,384000,1075,384000,1080,384000,975,1555200,976,1440000,979,0,979,1440000,981,0,1074,14,1079,0,974,18,976,40,978,88,979,0,981,0,982,0,
1094,3,1085,40,1092,1009841,0,1098,180000,1099,0,1170,1248000,1173,1248000,1176,1248000,1086,384000,1090,1766400,1093,0,1094,1766400,1097,0,1172,16,1175,36,1084,0,1089,30,1092,100,1093,0,1096,0,1098,0,
1185,3,1178,40,1184,1473257,0,1190,180000,1190,0,1271,1248000,1273,1248000,1275,1248000,1179,1248000,1181,1766400,1184,0,1185,1766400,1189,0,1272,22,1275,25,1178,45,1181,25,1183,88,1185,0,1188,0,1189,0,
1282,3,1277,40,1281,1066707,0,1285,180000,1286,0,1371,1248000,1373,1248000,1376,1248000,1277,1248000,1279,1766400,1281,0,1282,1766400,1284,0,1373,54,1375,55,1277,22,1279,0,1281,72,1282,0,1283,20,1284,0,
1384,3,1378,40,1382,1988871,0,1394,180000,1395,0,1471,1555200,1474,1555200,1476,1555200,1378,1248000,1380,1766400,1383,0,1389,1766400,1393,0,1473,100,1475,80,1377,50,1380,45,1382,80,1384,0,1392,30,1394,0,
1483,3,1479,40,1483,3587152,1486510,1487,180000,1488,0,1572,1555200,1574,1555200,1577,1555200,1479,1555200,1481,1766400,1483,0,1484,1766400,1486,0,1574,66,1576,63,1478,80,1480,80,1482,90,1483,0,1486,40,1487,0,
1585,3,1579,40,1583,2743988,643346,1589,180000,1590,0,1675,1555200,1677,1555200,1679,1555200,1579,1555200,1581,1766400,1584,0,1586,1766400,1588,0,1676,76,1678,72,1579,66,1581,77,1583,40,1584,0,1588,70,1589,0,
1685,3,1680,40,1684,3165521,1064879,1688,180000,1689,0,1777,1555200,1782,1344000,1785,1344000,1681,1555200,1683,1766400,1684,0,1686,1766400,1687,0,1781,30,1784,18,1680,63,1682,33,1684,80,1685,0,1687,70,1688,0,
1794,3,1787,40,1793,1239551,0,1797,180000,1798,0,1877,1478400,1879,1478400,1882,1478400,1788,1344000,1791,384000,1794,0,1794,384000,1796,0,1879,75,1881,54,1787,11,1791,25,1793,18,1794,0,1796,16,1797,0,
1891,3,1885,40,1890,1858698,0,1895,180000,1896,0,1978,1555200,1981,1555200,1984,1555200,1885,1478400,1888,384000,1890,0,1892,384000,1894,0,1980,70,1983,62,1884,50,1887,87,1890,11,1891,0,1893,0,1895,0,
1992,3,1986,40,1991,1674288,0,1996,180000,1997,0,2078,1555200,2080,1555200,2081,1555200,1987,1555200,1989,1248000,1992,0,1993,1248000,1995,0,2079,72,2081,54,1986,36,1989,54,1991,0,1992,0,1994,0,1995,0,
2087,3,2083,40,2086,2265445,164803,2089,180000,2090,0,2179,384000,2184,960000,2187,960000,2083,1555200,2085,960000,2087,0,2087,960000,2089,0,2183,27,2186,20,2082,87,2084,80,2086,25,2087,0,2088,22,2089,0,
2199,3,2190,40,2197,356975,0,2204,180000,2205,0,2280,960000,2283,960000,2286,960000,2191,960000,2193,1344000,2198,0,2200,1344000,2203,0,2282,44,2285,40,2189,9,2193,10,2197,9,2198,0,2202,45,2204,0,
2297,3,2289,40,2295,785616,0,2302,180000,2303,0,2382,384000,2390,384000,2397,384000,2289,960000,2293,384000,2296,0,2297,384000,2301,0,2389,0,2395,18,2288,33,2292,20,2295,0,2297,0,2300,0,2301,0,
2415,3,2405,40,2413,132169,0,2421,180000,2422,0,2482,1248000,2484,1248000,2487,1248000,2407,384000,2411,384000,2414,0,2415,384000,2420,0,2484,100,2486,50,2402,9,2410,30,2413,0,2414,0,2419,0,2420,0,
2495,3,2489,40,2494,1149747,0,2498,180000,2499,0,2583,384000,2590,384000,2597,384000,2489,1248000,2492,384000,2494,0,2495,384000,2497,0,2589,12,2595,0,2488,36,2491,28,2493,0,2495,0,2497,0,2498,0,
2619,3,2603,40,2616,109526,0,2627,180000,2629,0,2684,960000,2687,960000,2691,960000,2604,384000,2611,384000,2617,0,2619,384000,2625,0,2686,63,2690,50,2601,9,2610,10,2615,0,2618,0,2623,0,2626,0,
2703,3,2694,40,2701,607840,0,2707,180000,2707,0,2784,1248000,2786,1248000,2789,1248000,2695,960000,2698,384000,2702,0,2703,384000,2706,0,2786,58,2788,11,2693,36,2697,11,2701,0,2702,0,2705,0,2706,0,
2797,3,2792,40,2796,571254,0,2803,180000,2804,0,2885,1248000,2889,1248000,2893,1248000,2792,1248000,2794,384000,2796,0,2797,384000,2801,0,2888,25,2892,40,2791,11,2794,18,2796,0,2797,0,2799,0,2802,0,
