App,Package,Start Time,Duration,Filename
"System",,"Oct 23, 2018 @ 03:04:59 PM","1 min 19 sec","Trepn_2018.10.23_150458.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
7,3,5,40,6,2901825,383923,9,180000,9,0,87,1555200,3,1555200,4,1555200,5,1555200,6,0,7,1766400,7,1766400,8,1766400,3,18,4,25,5,8,6,0,6,0,7,90,8,100,9,72,
92,3,90,40,91,2884917,367015,93,180000,94,0,188,1555200,88,1555200,89,1555200,90,1555200,91,0,91,1766400,92,1766400,93,1766400,88,40,89,14,90,0,91,12,91,0,92,88,93,88,93,77,
198,3,193,40,196,3715510,1197608,202,180000,203,0,288,1555200,190,1555200,192,1555200,194,1555200,195,0,196,1766400,198,1766400,200,1766400,189,66,191,40,193,60,195,27,196,0,198,20,200,81,202,70,
301,3,297,40,301,2470288,0,306,180000,306,0,389,1555200,290,1555200,292,1555200,298,1555200,300,0,301,0,302,1766400,304,1766400,290,57,292,12,297,40,299,12,301,0,301,0,303,100,305,80,
396,3,394,40,396,2722380,204478,399,180000,400,0,489,1555200,391,1555200,392,1555200,394,1555200,395,0,396,0,397,1766400,398,1766400,390,69,392,22,393,36,395,18,396,0,396,0,398,90,399,100,
501,3,496,40,499,3004872,486970,506,180000,506,0,590,1555200,491,1555200,493,1555200,496,1555200,498,0,499,0,502,1766400,504,1766400,491,60,493,40,495,28,498,44,499,0,501,0,503,81,505,81,
606,3,603,40,606,3824298,1306396,611,180000,612,0,690,1555200,592,1555200,601,1555200,603,1555200,605,0,606,0,606,1766400,608,1766400,591,83,601,77,602,80,605,81,606,0,606,0,608,100,611,80,
706,3,703,40,705,4156399,1638497,711,180000,711,0,791,1555200,693,1555200,701,1555200,703,1555200,705,0,706,0,707,1766400,708,1766400,692,90,700,90,702,77,704,88,705,0,706,0,708,90,710,63,
802,3,798,40,801,3428804,910902,805,180000,806,0,891,1555200,793,1555200,796,1555200,799,1555200,801,0,801,0,802,1766400,804,1766400,792,75,796,70,798,66,800,66,801,0,802,0,803,90,805,33,
901,3,898,40,901,2660199,142297,905,180000,905,0,994,1555200,893,1555200,895,1555200,898,1555200,900,0,901,0,902,1766400,903,1766400,893,66,895,41,897,60,899,40,900,0,901,0,903,77,905,60,
1003,3,1000,40,1002,2612576,94674,1005,180000,1006,0,1094,1555200,996,1555200,998,1555200,1000,1555200,1001,1766400,1003,0,1003,1766400,1005,0,996,75,998,44,999,44,1001,20,1103,100,1003,0,1004,100,1005,0,
1105,3,1100,40,1104,2613375,95473,1107,180000,1108,0,1195,1555200,1097,1555200,1099,1555200,1101,1555200,1102,1766400,1104,0,1105,1766400,1106,0,1096,41,1098,20,1100,33,1102,11,1203,66,1104,0,1106,100,1107,0,
