App,Package,Start Time,Duration,Filename
"System",,"Oct 23, 2018 @ 06:54:23 PM","1 min 38 sec","Trepn_2018.10.23_185421.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
125,3,118,40,123,2808994,522333,128,180000,129,16,24,1555200,26,1555200,116,1555200,118,1555200,121,1766400,124,0,125,1766400,127,0,26,80,115,42,117,35,120,20,123,100,124,0,127,18,128,0,
177,3,171,40,176,2380823,94162,181,180000,181,0,164,1555200,167,1555200,169,1555200,172,1555200,174,1766400,176,0,177,1766400,180,0,166,16,168,40,171,80,173,16,176,100,177,0,179,0,180,0,
226,3,221,40,225,2168927,0,229,180000,230,0,214,1555200,217,1555200,219,1555200,221,1555200,223,1766400,226,0,226,1766400,228,0,216,20,218,50,220,57,223,40,225,100,226,0,228,75,229,0,
328,3,322,40,327,2520188,233527,332,180000,333,0,315,1555200,318,1555200,320,1555200,323,1555200,325,1766400,328,0,329,1766400,331,0,317,55,319,28,322,20,325,20,327,100,328,0,331,0,332,0,
432,3,424,40,430,1767402,0,436,180000,437,0,415,1555200,418,1555200,421,1555200,425,1555200,428,1766400,431,0,432,1766400,435,0,417,50,420,30,423,11,427,20,430,100,431,0,434,0,435,0,
530,3,522,40,529,2877362,590701,534,180000,535,0,516,1555200,518,1555200,520,1555200,523,1555200,527,1766400,529,0,531,1766400,533,0,517,81,520,55,522,90,527,77,529,70,530,0,532,11,534,0,
626,3,621,40,625,2587990,301329,628,180000,629,0,616,1555200,618,1555200,620,1555200,622,1555200,623,1766400,625,0,626,1766400,627,0,617,80,619,70,621,80,623,50,625,45,626,0,627,72,628,0,
729,3,723,40,728,2137921,0,732,180000,733,0,717,1555200,719,1555200,721,1555200,724,1555200,726,1766400,728,0,729,1766400,731,0,718,40,721,40,723,10,725,33,728,60,729,0,731,0,732,0,
828,3,823,40,827,1475209,0,831,180000,832,0,817,1248000,819,1248000,821,1248000,823,1248000,825,1766400,828,0,829,1766400,831,0,818,42,820,27,822,20,825,12,827,100,828,0,830,0,831,0,
941,3,933,40,940,1016156,0,946,180000,946,0,918,460800,923,460800,928,460800,934,960000,937,1766400,940,0,942,1766400,945,0,922,30,927,10,932,0,937,0,940,100,941,0,944,0,945,0,
1032,3,1026,40,1031,1339240,0,1037,180000,1037,0,1018,960000,1021,960000,1023,960000,1027,960000,1029,1766400,1032,0,1033,1766400,1036,0,1020,50,1022,12,1025,50,1029,0,1031,100,1032,0,1035,0,1036,0,
1140,3,1131,40,1139,461876,0,1145,180000,1146,0,1119,600000,1123,600000,1127,600000,1132,600000,1136,1766400,1139,0,1141,1766400,1144,0,1122,14,1126,30,1130,33,1135,9,1138,27,1140,0,1143,72,1145,0,
1237,3,1228,40,1235,2063028,0,1243,180000,1244,0,1219,1248000,1222,1248000,1225,1248000,1228,1248000,1231,1766400,1236,0,1237,1766400,1241,0,1222,50,1224,33,1227,50,1230,11,1235,70,1236,0,1240,11,1241,0,
1334,3,1325,40,1333,2123363,0,1336,180000,1336,0,1320,1555200,1322,1555200,1323,1555200,1325,1555200,1331,1766400,1333,0,1334,1766400,1335,0,1321,70,1323,44,1324,55,1326,40,1333,50,1333,0,1335,10,1336,0,
1433,3,1427,40,1432,1446101,0,1436,180000,1437,0,1421,1555200,1423,1555200,1425,1555200,1428,1555200,1430,1248000,1432,0,1433,1248000,1436,0,1423,44,1425,44,1427,22,1430,33,1432,50,1433,0,1435,0,1436,0,
1535,3,1530,40,1535,1910653,0,1538,180000,1539,0,1523,1555200,1526,1555200,1528,1555200,1531,1555200,1533,1440000,1535,0,1536,1440000,1537,0,1525,70,1528,36,1530,50,1532,11,1534,100,1535,0,1537,0,1537,0,
1637,3,1630,40,1635,1940647,0,1641,180000,1642,0,1623,1555200,1626,1555200,1628,1555200,1631,1555200,1633,1536000,1636,0,1637,1440000,1640,0,1625,54,1627,50,1630,45,1633,22,1635,90,1637,0,1639,10,1640,0,
1736,3,1730,40,1734,2864425,577764,1739,180000,1740,0,1724,1555200,1726,1555200,1728,1555200,1730,1555200,1732,1536000,1734,0,1736,1536000,1738,0,1726,83,1728,69,1730,81,1732,60,1734,88,1735,0,1737,80,1739,0,
1835,3,1830,40,1833,2111708,0,1838,180000,1838,0,1824,1555200,1826,1555200,1828,1555200,1830,1555200,1832,1344000,1834,0,1835,1440000,1837,0,1826,42,1828,25,1829,45,1831,22,1833,90,1834,0,1837,10,1837,0,
1940,3,1932,40,1938,1631020,0,1943,180000,1944,0,1925,1555200,1928,1555200,1930,1555200,1932,1555200,1936,1440000,1939,0,1940,1440000,1942,0,1927,44,1929,45,1932,27,1935,12,1938,90,1939,0,1942,0,1943,0,
2037,3,2031,40,2035,1788600,0,2041,180000,2042,0,2025,1555200,2027,1555200,2029,1555200,2031,1555200,2033,1536000,2036,0,2037,1536000,2040,0,2027,70,2029,25,2030,25,2033,20,2035,100,2036,0,2039,0,2041,0,
2138,3,2133,40,2137,1685647,0,2143,180000,2144,0,2126,1478400,2128,1478400,2131,1478400,2133,1478400,2135,633600,2138,0,2139,633600,2142,0,2128,44,2130,70,2132,66,2135,50,2137,50,2138,0,2141,0,2143,0,
2238,3,2232,40,2237,1794898,0,2241,180000,2241,0,2226,1555200,2228,1555200,2230,1555200,2233,1555200,2235,1248000,2237,0,2238,1248000,2240,0,2228,66,2230,70,2232,50,2234,25,2236,40,2237,0,2239,0,2240,0,
2341,3,2336,40,2340,1122191,0,2345,180000,2347,0,2327,1555200,2330,1555200,2333,1555200,2336,1555200,2338,384000,2341,0,2342,384000,2344,0,2329,55,2332,22,2335,50,2338,18,2340,0,2341,0,2344,0,2345,0,
2441,3,2436,40,2440,426631,0,2446,180000,2447,0,2429,1248000,2431,1248000,2433,1248000,2436,1248000,2438,384000,2441,0,2442,384000,2444,0,2431,36,2433,22,2435,0,2438,11,2440,0,2441,0,2443,0,2445,0,
2555,3,2545,40,2554,331193,0,2560,180000,2561,0,2530,460800,2536,960000,2541,960000,2546,960000,2550,384000,2554,0,2556,384000,2559,0,2535,11,2540,36,2544,16,2549,20,2553,0,2555,0,2558,0,2559,0,
2647,3,2639,40,2645,601176,0,2652,180000,2653,0,2631,1248000,2634,1248000,2637,1248000,2640,1248000,2642,384000,2646,0,2647,384000,2651,0,2633,33,2636,27,2639,22,2642,22,2645,0,2647,0,2650,0,2651,0,
2758,3,2745,40,2756,288090,0,2763,180000,2764,0,2731,960000,2736,768000,2741,768000,2746,768000,2751,384000,2757,0,2758,384000,2761,0,2735,20,2739,18,2744,9,2750,33,2755,0,2758,0,2761,0,2762,0,
2848,3,2840,40,2846,473228,0,2852,180000,2852,0,2831,960000,2835,960000,2838,960000,2841,960000,2844,384000,2847,0,2848,384000,2851,0,2834,45,2837,33,2840,11,2843,30,2846,0,2847,0,2850,0,2851,0,
2967,3,2951,40,2963,126944,0,2975,180000,2976,0,2933,384000,2940,384000,2946,384000,2952,384000,2958,384000,2964,0,2968,384000,2973,0,2938,10,2944,0,2950,8,2957,33,2963,0,2966,0,2971,0,2974,0,
3054,3,3045,40,3052,815618,0,3059,180000,3060,0,3035,1248000,3039,1248000,3042,1248000,3046,1248000,3049,384000,3053,0,3055,384000,3058,0,3038,69,3041,53,3045,0,3048,25,3052,0,3054,0,3057,0,3059,0,
3149,3,3143,40,3148,456553,0,3153,180000,3156,0,3134,1248000,3137,1248000,3140,1248000,3143,1248000,3146,384000,3149,0,3150,384000,3152,0,3137,45,3139,10,3142,10,3145,10,3148,0,3149,0,3152,0,3153,0,
3261,3,3251,40,3259,430547,0,3266,180000,3267,0,3236,960000,3240,960000,3246,960000,3252,960000,3256,384000,3259,0,3261,384000,3264,0,3239,54,3244,22,3249,30,3255,0,3259,0,3260,0,3263,0,3265,0,
3349,3,3343,40,3348,641072,0,3353,180000,3353,0,3336,1248000,3339,1248000,3341,1248000,3344,1248000,3346,384000,3349,0,3349,384000,3352,0,3338,70,3341,20,3343,22,3346,0,3348,0,3349,0,3351,0,3352,0,
3467,3,3457,40,3465,186913,0,3473,180000,3475,0,3437,384000,3445,384000,3452,384000,3458,960000,3462,384000,3466,0,3468,384000,3472,0,3443,25,3450,0,3456,27,3461,18,3465,0,3467,0,3471,0,3473,0,
3556,3,3548,40,3554,346004,0,3562,180000,3563,0,3538,768000,3541,768000,3545,768000,3548,768000,3551,384000,3555,0,3556,384000,3560,0,3541,60,3544,22,3547,20,3551,11,3554,0,3556,0,3559,0,3561,0,
3678,3,3663,40,3677,101688,0,3683,180000,3684,0,3640,384000,3648,384000,3655,384000,3664,384000,3671,384000,3677,0,3679,384000,3682,0,3646,22,3654,0,3661,0,3670,0,3676,0,3678,0,3681,0,3683,0,
3767,3,3751,40,3765,565158,0,3773,180000,3774,0,3739,960000,3744,960000,3748,960000,3752,960000,3760,384000,3766,0,3768,384000,3771,0,3743,80,3747,45,3750,22,3758,0,3765,0,3767,0,3770,0,3772,0,
3853,3,3847,40,3852,795670,0,3861,180000,3862,0,3840,1248000,3842,1248000,3845,1248000,3848,1248000,3850,384000,3852,0,3853,384000,3859,0,3842,60,3844,36,3847,36,3850,11,3852,0,3853,0,3858,0,3860,0,
3966,3,3957,40,3964,195928,0,3971,180000,3972,0,3941,600000,3947,600000,3952,600000,3957,960000,3961,384000,3965,0,3966,384000,3970,0,3946,40,3951,0,3956,30,3960,0,3963,0,3965,0,3969,0,3970,0,
