App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 03:39:51 PM","57 sec","Trepn_2018.10.19_153950.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
8,3,2,40,7,2816855,191256,13,180000,14,0,55,1555200,57,1555200,0,1555200,3,1555200,5,1766400,7,0,8,1766400,12,0,57,100,0,53,2,57,4,41,6,100,8,0,11,41,12,0,
66,3,61,40,65,3422506,796907,69,180000,69,0,155,1555200,157,1555200,59,1555200,62,1555200,64,1766400,66,0,66,1766400,68,0,157,60,59,66,61,85,63,40,65,100,66,0,68,100,69,0,
167,3,161,40,166,3265854,640255,170,180000,170,0,256,1555200,257,1555200,159,1555200,161,1555200,164,1766400,166,0,167,1766400,169,0,257,90,159,58,160,45,163,33,166,100,167,0,168,30,169,0,
278,3,262,40,275,3389248,763649,282,180000,282,0,358,1555200,360,1555200,260,1555200,264,1555200,269,1766400,277,0,278,1766400,281,0,360,88,259,72,262,66,269,72,275,100,278,0,280,0,282,0,
371,3,366,40,369,3459544,833945,379,180000,380,0,459,1555200,463,1555200,364,1555200,366,1555200,368,1766400,370,0,371,1766400,377,0,461,83,364,84,366,87,368,88,369,100,371,0,375,33,378,0,
473,3,467,40,471,3076404,450805,476,180000,477,0,560,1555200,565,1555200,466,1555200,468,1555200,470,1766400,472,0,473,1766400,475,0,562,100,465,83,467,90,469,76,471,36,473,0,475,0,476,0,
584,3,582,40,584,2986291,360692,586,180000,586,0,660,1555200,662,1555200,574,1555200,582,1555200,583,1440000,584,0,585,1440000,585,0,662,80,573,77,577,84,583,100,584,50,584,0,585,0,586,0,
671,3,666,40,670,2171435,0,674,180000,674,0,766,1555200,768,1555200,664,1555200,666,1555200,668,384000,670,0,671,384000,673,0,767,83,664,80,665,80,667,50,669,11,670,0,673,0,673,0,
776,3,771,40,775,2724716,99117,779,180000,780,0,866,1555200,871,1555200,769,1555200,772,1555200,773,1440000,776,0,777,1440000,778,0,868,81,769,77,771,80,773,81,775,54,776,0,778,20,779,0,
881,3,876,40,880,2637751,12152,885,180000,885,0,972,1555200,974,1555200,873,1555200,877,1555200,879,1248000,881,0,882,1248000,884,0,973,90,873,90,876,77,878,72,880,27,881,0,883,0,884,0,
986,3,978,40,985,3021054,395455,990,180000,991,0,1072,1555200,1075,1555200,976,1555200,978,1555200,982,1766400,985,0,986,1766400,989,0,1074,100,975,81,977,77,982,80,984,66,986,0,988,10,989,0,
