App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 04:57:50 PM","1 min 3 sec","Trepn_2018.10.19_165749.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
53,3,46,40,51,2532130,0,58,180000,58,0,16,1555200,40,1555200,43,1555200,47,1555200,50,1440000,52,0,53,1440000,55,1440000,40,75,42,64,46,44,49,61,51,100,53,0,121,85,57,91,
121,3,119,40,120,3925797,778855,122,180000,122,0,116,1555200,117,1555200,118,1555200,119,1555200,120,1440000,120,0,121,1440000,122,1440000,117,100,118,100,119,85,119,83,120,100,121,0,232,81,122,85,
230,3,224,40,228,4079902,932960,233,180000,234,0,217,1555200,219,1555200,222,1555200,224,1555200,226,1440000,228,1440000,231,1440000,233,0,218,81,221,90,223,66,226,83,228,100,230,100,335,100,233,0,
332,3,323,40,329,3403591,256649,337,180000,337,0,317,1555200,319,1555200,321,1555200,324,1555200,326,1440000,329,1440000,333,1440000,336,0,319,60,321,41,323,25,325,90,328,100,331,90,432,100,336,0,
430,3,424,40,429,3826031,679089,433,180000,434,0,418,1555200,419,1555200,422,1555200,424,1555200,427,1440000,429,0,431,1440000,433,0,419,80,422,62,424,70,426,55,428,100,430,0,544,100,433,0,
541,3,535,40,540,3631228,484286,546,180000,547,0,519,1555200,521,1555200,531,1555200,535,1555200,538,1440000,541,0,542,1440000,544,1440000,521,87,531,81,533,75,538,76,540,100,541,0,637,60,546,0,
634,3,625,40,631,3373104,226162,639,180000,639,15,619,1555200,621,1555200,623,1555200,626,1555200,628,1440000,633,0,635,1440000,638,0,621,83,623,57,625,66,627,77,631,100,634,0,739,44,638,0,
735,3,727,40,734,3829547,682605,741,180000,741,15,719,1555200,722,1555200,725,1555200,728,1555200,732,1440000,735,0,736,1440000,740,0,721,90,725,90,727,100,731,81,734,100,735,0,838,14,740,0,
836,3,825,40,834,3742972,596030,839,180000,840,15,819,1555200,822,1555200,824,1555200,826,1555200,828,1440000,835,0,837,1440000,839,0,821,100,823,90,825,90,828,83,834,100,836,0,940,0,839,0,
939,3,936,40,938,2843854,0,951,180000,952,15,920,1478400,924,1478400,934,1478400,936,1478400,938,0,939,0,939,0,949,0,924,83,928,100,935,100,937,100,938,0,939,0,1038,0,950,0,
1037,3,1031,40,1035,2801675,0,1039,305000,1039,15,1021,1478400,1023,1478400,1027,1478400,1031,1478400,1034,0,1036,0,1037,0,1038,0,1022,100,1026,100,1030,90,1033,100,1034,0,1037,0,1134,0,1038,0,
1133,3,1128,40,1132,2036589,0,1136,180000,1136,15,1121,1478400,1124,1478400,1126,1478400,1129,1478400,1132,0,1133,0,1134,0,1135,0,1123,100,1126,41,1128,90,1131,14,1132,0,1133,0,1235,0,1135,0,
1234,3,1228,40,1233,2241616,0,1235,180000,1236,0,1222,1478400,1224,1478400,1226,1478400,1229,1478400,1233,0,1234,0,1234,0,1235,0,1223,100,1225,50,1228,100,1232,55,1233,0,1234,0,1336,0,1235,0,
1336,3,1331,40,1334,1624338,0,1337,180000,1338,0,1322,1478400,1325,1478400,1328,1478400,1331,1478400,1334,0,1335,0,1336,0,1337,0,1324,70,1327,70,1330,44,1333,50,1334,0,1335,0,1433,0,1337,0,
1433,3,1429,40,1432,1196057,0,1434,180000,1435,0,1423,1478400,1425,1478400,1427,1478400,1429,1478400,1431,0,1432,0,1433,0,1434,0,1424,66,1426,33,1428,70,1431,0,1432,0,1432,0,1539,0,1434,0,
1539,3,1533,40,1538,1018156,0,1541,180000,1542,0,1523,1478400,1527,1478400,1530,1478400,1534,1478400,1537,0,1538,0,1539,0,1540,0,1526,100,1529,11,1532,11,1536,20,1538,0,1539,0,1635,0,1540,0,
1634,3,1630,40,1634,1268535,0,1636,180000,1636,0,1624,1478400,1626,1478400,1628,1478400,1630,1478400,1633,0,1634,0,1635,0,1635,0,1626,100,1628,22,1630,30,1632,28,1633,0,1634,0,1740,0,1636,0,
1740,3,1736,40,1739,1439848,0,1741,180000,1742,0,1724,1478400,1726,1478400,1729,1478400,1736,1478400,1738,0,1739,0,1740,0,1741,0,1726,70,1728,41,1735,70,1738,25,1739,0,1739,0,1837,0,1741,0,
1837,3,1832,40,1836,1485970,0,1838,180000,1839,0,1825,1478400,1827,1478400,1829,1478400,1832,1478400,1835,0,1836,0,1837,0,1838,0,1826,44,1829,44,1831,100,1834,25,1836,0,1837,0,1941,0,1838,0,
1940,3,1934,40,1939,1265593,0,1942,180000,1943,0,1925,1555200,1928,1555200,1931,1555200,1935,1555200,1938,0,1939,0,1941,0,1941,0,1927,81,1931,22,1934,50,1937,12,1939,0,1940,0,2037,0,1942,0,
2036,3,2032,40,2036,1516546,0,2038,180000,2038,0,2026,1555200,2028,1555200,2030,1555200,2033,1555200,2035,0,2036,0,2037,0,2037,0,2028,100,2030,36,2032,44,2034,20,2035,0,2036,0,2141,0,2037,0,
2141,3,2136,40,2139,1358804,0,2142,180000,2143,0,2126,1555200,2129,1555200,2133,1555200,2136,1555200,2139,0,2140,0,2141,0,2142,0,2129,100,2132,27,2135,18,2138,33,2139,0,2140,0,2241,0,2142,0,
2240,3,2235,40,2239,1351634,0,2242,180000,2243,0,2227,1555200,2230,1555200,2232,1555200,2236,1555200,2239,0,2240,0,2241,0,2241,0,2229,100,2232,11,2235,33,2238,33,2239,0,2240,0,2339,0,2242,0,
2338,3,2335,40,2337,1552397,0,2340,180000,2340,0,2328,1555200,2330,1555200,2332,1555200,2335,1555200,2337,0,2338,0,2338,0,2339,0,2330,100,2332,25,2334,50,2336,30,2337,0,2338,0,2443,0,2340,0,
2442,3,2438,40,2442,1208232,0,2444,180000,2445,0,2429,1555200,2432,1555200,2435,1555200,2438,1555200,2441,0,2442,0,2443,0,2443,0,2432,100,2434,27,2437,20,2440,10,2442,0,2442,0,2544,0,2444,0,
2543,3,2538,40,2542,1516546,0,2544,180000,2545,0,2530,1555200,2533,1555200,2535,1555200,2539,1555200,2541,0,2543,0,2543,0,2544,0,2532,100,2535,30,2538,40,2541,30,2542,0,2543,0,2646,0,2544,0,
2645,3,2640,40,2644,1308614,0,2648,180000,2648,0,2631,1555200,2634,1555200,2637,1555200,2641,1555200,2644,0,2645,0,2646,0,2647,0,2633,100,2636,18,2639,20,2643,33,2644,0,2645,0,2742,0,2647,0,
2742,3,2738,40,2741,1100681,0,2743,180000,2744,0,2731,1555200,2733,1555200,2736,1555200,2738,1555200,2740,0,2741,0,2742,0,2742,0,2733,100,2735,12,2738,30,2740,0,2741,0,2741,0,2843,0,2743,0,
2843,3,2838,40,2842,1272763,0,2844,180000,2845,0,2831,1555200,2834,1555200,2836,1555200,2838,1555200,2841,0,2842,0,2843,0,2843,0,2833,100,2835,44,2838,22,2840,0,2841,0,2842,0,2947,0,2844,0,
2946,3,2941,40,2945,1064279,0,2948,180000,2948,0,2932,1478400,2935,1478400,2938,1478400,2942,1478400,2944,0,2946,0,2946,0,2947,0,2935,70,2938,37,2941,33,2944,9,2945,0,2946,0,3046,0,2947,0,
3045,3,3042,40,3045,1367369,0,3047,180000,3047,0,3033,1478400,3036,1478400,3039,1478400,3042,1478400,3044,0,3045,0,3046,0,3046,0,3035,88,3038,36,3041,41,3044,30,3045,0,3045,0,3152,0,3046,0,
3151,3,3146,40,3150,1116990,0,3154,180000,3155,0,3134,1478400,3138,1478400,3142,1478400,3146,1478400,3149,0,3150,0,3151,0,3153,0,3137,100,3141,27,3145,20,3148,10,3150,0,3151,0,3245,0,3153,0,
3245,3,3241,40,3244,1512326,0,3246,180000,3247,0,3234,1478400,3236,1478400,3239,1478400,3241,1478400,3243,0,3244,0,3245,0,3246,0,3236,100,3238,42,3240,25,3243,50,3244,0,3245,0,3352,0,3246,0,
3351,3,3346,40,3350,1090634,0,3354,180000,3355,0,3335,1478400,3339,1478400,3343,1478400,3346,1478400,3349,0,3351,0,3352,0,3353,0,3338,100,3342,33,3345,9,3349,11,3350,0,3351,0,3449,0,3353,0,
3448,3,3444,40,3448,1532093,0,3449,180000,3450,0,3435,1478400,3439,1478400,3442,1478400,3444,1478400,3447,0,3448,0,3448,0,3449,0,3438,100,3441,40,3444,30,3446,50,3447,0,3448,0,3557,0,3449,0,
3556,3,3547,40,3554,1189468,0,3558,180000,3558,0,3536,1478400,3541,1478400,3544,1478400,3548,1478400,3552,0,3555,0,3556,0,3557,0,3539,100,3543,27,3546,11,3551,30,3554,0,3556,0,3648,0,3557,0,
3648,3,3644,40,3647,1347603,0,3649,180000,3650,0,3637,1478400,3640,1478400,3642,1478400,3644,1478400,3646,0,3647,0,3648,0,3649,0,3639,58,3642,22,3644,90,3646,22,3647,0,3648,0,3758,0,3649,0,
3757,3,3748,40,3756,1261947,0,3759,180000,3760,0,3739,1478400,3742,1478400,3745,1478400,3749,1478400,3755,0,3756,0,3758,0,3758,0,3741,30,3744,36,3747,77,3753,36,3756,0,3757,0,3850,0,3759,0,
3849,3,3846,40,3849,1485970,0,3851,180000,3852,0,3840,1478400,3842,1478400,3844,1478400,3846,1478400,3848,0,3849,0,3850,0,3851,0,3841,60,3844,33,3846,90,3848,30,3849,0,3849,0,3956,0,3851,0,
3955,3,3949,40,3954,1394655,0,3957,180000,3958,0,3940,1555200,3943,1555200,3946,1555200,3950,1555200,3953,0,3954,0,3955,0,3956,0,3943,11,3946,36,3949,100,3952,36,3954,0,3955,0,4051,0,3957,0,
4051,3,4047,40,4050,1337294,0,4052,180000,4053,0,4041,1555200,4043,1555200,4045,1555200,4047,1555200,4049,0,4050,0,4051,0,4052,0,4043,28,4045,27,4047,100,4049,20,4050,0,4051,0,4157,0,4052,0,
4156,3,4150,40,4155,1330124,0,4158,180000,4159,0,4141,1555200,4144,1555200,4147,1555200,4151,1555200,4154,0,4156,0,4157,0,4158,0,4143,30,4146,11,4149,100,4153,33,4155,0,4156,0,4253,0,4158,0,
4252,3,4248,40,4251,1236913,0,4253,180000,4254,0,4242,1555200,4244,1555200,4246,1555200,4249,1555200,4251,0,4252,0,4252,0,4253,0,4244,22,4246,28,4248,100,4250,11,4251,0,4252,0,4359,0,4253,0,
4358,3,4352,40,4356,1401825,0,4360,180000,4361,0,4343,1555200,4346,1555200,4349,1555200,4352,1555200,4355,0,4357,0,4358,0,4359,0,4345,45,4348,12,4351,100,4354,27,4356,0,4358,0,4457,0,4360,0,
4456,3,4452,40,4455,1236913,0,4458,180000,4459,0,4444,1555200,4446,1555200,4449,1555200,4452,1555200,4454,0,4455,0,4456,0,4457,0,4446,30,4448,11,4451,100,4454,20,4455,0,4456,0,4558,0,4458,0,
4557,3,4552,40,4555,1452015,0,4559,180000,4560,0,4544,1555200,4547,1555200,4549,1555200,4552,1555200,4554,0,4556,0,4557,0,4559,0,4546,44,4549,36,4551,100,4554,11,4555,0,4557,0,4666,0,4559,0,
4666,3,4657,40,4664,1215402,0,4667,180000,4668,0,4645,1555200,4649,1555200,4652,1555200,4658,1555200,4663,0,4665,0,4666,0,4667,0,4648,18,4652,30,4656,100,4662,10,4664,0,4666,0,4758,0,4667,0,
4757,3,4752,40,4756,1824860,0,4759,180000,4760,0,4745,1555200,4748,1555200,4750,1555200,4753,1555200,4755,0,4756,0,4757,0,4758,0,4747,81,4749,50,4752,100,4755,12,4756,0,4757,0,4859,0,4759,0,
